fid,name,,type ,x,y
1,BRAINSPACE,,Hostel,77.27027655,23.292291
2,Hostel 5 - CRANE,,Hostel,77.27090244,23.29282841
3,Hostel 1 - HAWK,,Hostel,77.27270356,23.28989916
5,Hostel 2 - EAGLE,,Hostel,77.27116653,23.29102135
6,Hostel 3 - SILVERBILL,,Hostel,77.27058953,23.29158616
7,Hostel 6 - SWAN,,Hostel,77.27143755,23.29324481
8,Hostel 7 - SUNBIRD,,Hostel,77.27227084,23.29335235
10,Mess - 2,,Hostel,77.27088414,23.29132311
109,Apartment Tower - E,,Residential,77.2754423,23.28019191
110,Apartment Tower - A,,Residential,77.27438786,23.28182718
111,Director's Residence,,Residential,77.2744868,23.28419326
112,Duplex Houses - D-1 to D-5,,Residential,77.27372828,23.28400477
114,Athletic Track,,Hostel,77.27396626,23.29160731
115,Mess - 1,,Hostel,77.27215876,23.2899878
116,Mess - 3,,Hostel,77.27060211,23.2925343
117,Mess - 4,,Hostel,77.27183713,23.29330118
118,,,,77.27336897,23.28851236
119,Cricket Ground,,Hostel,77.27196821,23.29208587
120,Ideation Hut,,Hostel,77.27113015,23.29214468
121,Infinity - AB1,,Academic,77.27570854,23.28671522
122,Elements - AB2,,Academic,77.27566984,23.28756265
123,Elements - A02,,Academic,77.2753428,23.28717141
124,Elements - AB2,,Academic,77.27516004,23.28740128
125,Elements - A02,,Academic,77.27528875,23.28699855
126,Cell - A03,,Academic,77.27554829,23.28909052
127,Cell - A03,,Academic,77.27583035,23.2889389
128,Cell - A03,,Academic,77.2757803,23.28862607
129,4D - AB4,,Academic,77.27600961,23.28644474
130,Therm - A05,,Academic,77.27611108,23.28590558
131,Gravity - AB6,,Academic,77.27540284,23.28632629
132,Binary - AB6,,Academic,77.27574643,23.28641867
133,Library - Lumen - A08,,Academic,77.27465759,23.2872256
134,Cafe Coffee Day,,Academic,77.27445307,23.28731107
135,Plasma - A09,,Academic,77.27569719,23.28585708
136,Lecture Hall Complex (LHC) Ensemble - A10,,Academic,77.27464378,23.28814596
137,LHC Cafetaria,,Academic,77.27524545,23.2881125
138,Fly facility - A11,,Academic,77.27505806,23.28921312
139,Animal Facility - A12,,Academic,77.27538634,23.28946497
140,Solvent Store - A13,,Academic,77.2761627,23.2881742
141,Liquid Nitrogen Plant - A14,,Academic,77.27591302,23.28821707
142,BSL - 3,,Academic,77.27775075,23.28700648
143,Rock Cutting Facilities,,Academic,77.27599612,23.29051514
144,Elements Extension (Proposed),,Academic,77.27567167,23.28816161
145,Badminton Hall,,Hostel,77.27101405,23.29321738
146,Hostel 9 - Flamingo (Proposed),,Hostel,77.27414392,23.29049673
147,Mess - 5,,Hostel,77.2704516,23.29303205
148,Student Activity Center,,Hostel,77.27217203,23.29143588
149,Open Stage,,Hostel,77.27273247,23.29151745
150,Tennis and Badminton Court,,Hostel,77.27259,23.2934732
151,Sports Complex,,Hostel,77.27261347,23.29098033
152,,,,77.27315587,23.28992986
153,,,,77.27490787,23.28245041
154,,,,77.27517763,23.28248314
155,Institute Club & Crech??,,Residential,77.27513845,23.28199282
156,Community Center,,Residential,77.27528987,23.28140671
157,,,,77.27517503,23.28120504
158,Shopping Center,,Academic,77.27402556,23.28540615
159,,,,77.27385753,23.28520312
160,Visitor's Hostel,,Residential,77.27505425,23.28337732
168,Hostel 8 - Sky Lark,,Hostel,77.27160229,23.29417688
169,Mess - 6,,Hostel,77.27091815,23.29391292
170,Football Ground,,Hostel,77.27430656,23.28932064
171,,,,77.27589995,23.28706
172,,,,77.2748495,23.2863131
173,Security Office,,Residential,77.27705078,23.2799628
174,Apartment Tower (Upcoming),,Residential,77.27426865,23.2823623
175,Apartment Tower (Upcoming),,Residential,77.27419004,23.28289507
176,Duplex Houses - D-6 to D-10,,Residential,77.27382601,23.28364187
177,Duplex Houses - D-11 to D-12,,Residential,77.27414402,23.28337961
178,Apartment Tower - B,,Residential,77.27448044,23.28129407
179,Single Bed Residential Accomodation,,Residential,77.27408199,23.28131057
180,Electrical Sub Station - 1,,Hostel,77.27326083,23.28498813
181,Electrical Sub Station - 2A,,Hostel,77.27296918,23.2893008
182,Electrical Sub Station - 2,,Hostel,77.27294227,23.28905161
183,Institute Works Department,,Hostel,77.27326713,23.28881325
